executionTs,nombreCandidato,PROFUNDIDAD_1,PROFUNDIDAD_2,PROFUNDIDAD_3,PROFUNDIDAD_4,contabilizadas,totalActas,totalVotosValidos,porcentajeVotosValidos,tipoFiltro,idAmbitoGeografico
2026-06-08T13:43:50.676256+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,,,1129,1278,67506,37.638,ubigeo_nivel_01,1
2026-06-08T13:43:50.676256+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,,,1129,1278,111848,62.362,ubigeo_nivel_01,1
2026-06-08T13:43:54.946509+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BAGUA,,216,250,10858,31.456,ubigeo_nivel_02,1
2026-06-08T13:43:54.946509+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BAGUA,,216,250,23660,68.544,ubigeo_nivel_02,1
2026-06-08T13:43:55.651630+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BAGUA,ARAMANGO,34,34,1841,35.087,ubigeo_nivel_03,1
2026-06-08T13:43:55.651630+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BAGUA,ARAMANGO,34,34,3406,64.913,ubigeo_nivel_03,1
2026-06-08T13:43:56.344764+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BAGUA,BAGUA,69,72,5554,41.177,ubigeo_nivel_03,1
2026-06-08T13:43:56.344764+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BAGUA,BAGUA,69,72,7934,58.823,ubigeo_nivel_03,1
2026-06-08T13:43:58.000642+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BAGUA,COPALLIN,15,16,917,32.277,ubigeo_nivel_03,1
2026-06-08T13:43:58.000642+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BAGUA,COPALLIN,15,16,1924,67.723,ubigeo_nivel_03,1
2026-06-08T13:43:58.726189+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BAGUA,EL PARCO,6,6,285,26.123,ubigeo_nivel_03,1
2026-06-08T13:43:58.726189+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BAGUA,EL PARCO,6,6,806,73.877,ubigeo_nivel_03,1
2026-06-08T13:43:59.416743+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BAGUA,IMAZA,67,97,716,9.143,ubigeo_nivel_03,1
2026-06-08T13:43:59.416743+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BAGUA,IMAZA,67,97,7115,90.857,ubigeo_nivel_03,1
2026-06-08T13:44:00.074421+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BAGUA,LA PECA,25,25,1545,38.433,ubigeo_nivel_03,1
2026-06-08T13:44:00.074421+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BAGUA,LA PECA,25,25,2475,61.567,ubigeo_nivel_03,1
2026-06-08T13:44:00.687328+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BONGARÁ,,84,84,6000,43.309,ubigeo_nivel_02,1
2026-06-08T13:44:00.687328+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BONGARÁ,,84,84,7854,56.691,ubigeo_nivel_02,1
2026-06-08T13:44:01.299628+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BONGARÁ,CHISQUILLA,2,2,110,41.199,ubigeo_nivel_03,1
2026-06-08T13:44:01.299628+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BONGARÁ,CHISQUILLA,2,2,157,58.801,ubigeo_nivel_03,1
2026-06-08T13:44:01.903592+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BONGARÁ,CHURUJA,2,2,93,41.704,ubigeo_nivel_03,1
2026-06-08T13:44:01.903592+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BONGARÁ,CHURUJA,2,2,130,58.296,ubigeo_nivel_03,1
2026-06-08T13:44:02.677374+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BONGARÁ,COROSHA,3,3,118,27.506,ubigeo_nivel_03,1
2026-06-08T13:44:02.677374+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BONGARÁ,COROSHA,3,3,311,72.494,ubigeo_nivel_03,1
2026-06-08T13:44:03.306048+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BONGARÁ,CUISPES,3,3,179,32.724,ubigeo_nivel_03,1
2026-06-08T13:44:03.306048+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BONGARÁ,CUISPES,3,3,368,67.276,ubigeo_nivel_03,1
2026-06-08T13:44:05.161466+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BONGARÁ,FLORIDA,17,17,1332,42.245,ubigeo_nivel_03,1
2026-06-08T13:44:05.161466+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BONGARÁ,FLORIDA,17,17,1821,57.755,ubigeo_nivel_03,1
2026-06-08T13:44:05.871874+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BONGARÁ,JAZAN,21,21,1711,49.565,ubigeo_nivel_03,1
2026-06-08T13:44:05.871874+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BONGARÁ,JAZAN,21,21,1741,50.435,ubigeo_nivel_03,1
2026-06-08T13:44:06.593188+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BONGARÁ,JUMBILLA,3,3,168,36.601,ubigeo_nivel_03,1
2026-06-08T13:44:06.593188+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BONGARÁ,JUMBILLA,3,3,291,63.399,ubigeo_nivel_03,1
2026-06-08T13:44:07.278797+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BONGARÁ,RECTA,2,2,64,28.7,ubigeo_nivel_03,1
2026-06-08T13:44:07.278797+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BONGARÁ,RECTA,2,2,159,71.3,ubigeo_nivel_03,1
2026-06-08T13:44:07.944596+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BONGARÁ,SAN CARLOS,3,3,161,40.759,ubigeo_nivel_03,1
